id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
16151514 2 25 11 15 15 3548708 1 3 5 4 NA 2 5 3 2 5 4 2017 1535 "sao paulo" "sao bernardo do campo" NA NA 0 NA 0 NA
16151036 1 53 17 15 15 2304400 1 1 5 4 4 3 1 7 3 NA 1 2017 1523 ceara fortaleza NA NA 0 NA 0 NA
16150708 2 40 5 15 15 5002704 1 1 3 4 4 1 5 1 1 1 1 2017 1550 "mato grosso do sul" "campo grande" NA NA 0 NA 0 NA
16150802 2 25 9 15 15 5208707 1 1 5 3 3 2 5 3 8 1506 1 2017 1552 goias goiania NA NA 0 NA 0 NA
16150538 2 17 10 15 15 1400100 1 5 4 3 4 3 4 1 3 3 2 2017 1514 roraima "boa vista" NA NA 0 NA 0 NA
16151083 2 32 11 15 15 5204706 1 2 4 3 4 2 3 5 11 1 2 2017 1552 goias campinorte NA NA 0 NA 0 NA
16151241 2 23 13 15 15 5300108 1 5 5 2 2 1 1 1 11 1506 1 2017 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 6
16150101 1 33 15 15 15 1400100 1 10 4 3 1 3 3 5 4 1 1 2017 1514 roraima "boa vista" NA NA 0 NA 0 NA
16151119 1 62 8 15 15 3122306 1 6 3 1 3 1 2 1 15 5 1 2017 1531 "minas gerais" divinopolis NA NA 0 NA 0 NA
16150840 1 19 13 15 15 5107602 1 6 3 3 3 1 4 6 12 5 2 2017 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
16151095 1 43 7 15 15 1501402 1 5 3 4 1 1 1 5 10 5 1 2017 1515 para belem NA NA 0 NA 0 NA
16150726 1 32 15 15 15 5201405 1 3 4 3 3 2 1 7 10 5 1 2017 1552 goias "aparecida de goiania" NA NA 0 NA 0 NA
16150227 2 50 11 15 15 1100205 1 5 4 3 4 2 2 3 14 1 1 2017 1511 rondonia "porto velho" NA NA 0 NA 0 NA
16150090 2 30 11 15 15 2910800 1 4 5 4 3 3 3 5 1 4 1 2017 1529 bahia "feira de santana" NA NA 0 NA 0 NA
16151088 1 32 11 15 15 3550308 1 4 2 1 1 2 5 7 5 1 1 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16150567 2 20 11 15 15 1302603 1 9 3 1 1 2 2 1 NA 3 2 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16150920 1 30 11 15 15 3549904 1 3 3 2 3 3 1 7 8 1 1 2017 1535 "sao paulo" "sao jose dos campos" NA NA 0 NA 0 NA
16150563 1 79 NA 15 15 3550308 1 1 3 3 3 2 7 2 4 5 NA 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16151468 2 60 17 15 15 2927408 1 10 5 4 4 3 6 7 5 1506 1 2017 1529 bahia salvador NA NA 0 NA 0 NA
16151045 2 44 16 15 15 3518800 1 6 5 2 2 3 3 5 1 4 2 2017 1535 "sao paulo" guarulhos NA NA 0 NA 0 NA
16150695 2 23 11 15 15 5300108 1 7 5 2 2 3 3 3 5 5 1 2017 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 6
16151027 1 31 11 15 15 3170800 1 5 5 3 3 2 1 1 6 1506 1 2017 1531 "minas gerais" "varzea da palma" NA NA 0 NA 0 NA
16151331 1 27 7 15 15 5215231 1 NA 5 3 4 3 3 3 0 4 1 2017 1552 goias "novo gama" NA NA 0 NA 0 NA
16150322 1 44 9 15 15 2304400 1 3 5 2 NA 3 1 6 9 1506 4 2017 1523 ceara fortaleza NA NA 0 NA 0 NA
16151317 1 40 16 15 15 4115606 1 10 3 3 3 3 1 5 7 1 1 2017 1541 parana matelandia NA NA 0 NA 0 NA
16150622 1 28 11 15 15 3306305 1 8 3 3 3 2 1 7 10 5 2 2017 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
16151529 2 45 11 15 15 3538006 1 6 4 2 1 2 1 7 14 1 1 2017 1535 "sao paulo" pindamonhangaba NA NA 0 NA 0 NA
16150432 1 36 11 15 15 3515004 1 3 4 2 3 1 1 7 10 4 1 2017 1535 "sao paulo" embu NA NA 0 NA 0 NA
16151006 2 35 3 15 15 3152501 1 5 5 4 4 3 6 5 1 5 1 2017 1531 "minas gerais" "pouso alegre" NA NA 0 NA 0 NA
16151154 1 39 11 15 15 4209102 1 3 3 3 3 3 1 7 15 1 1 2017 1542 "santa catarina" joinville NA NA 0 NA 0 NA
16150246 2 56 11 15 15 4309308 1 1 5 4 4 3 5 7 13 1 1 2017 1543 "rio grande do sul" guaiba NA NA 0 NA 0 NA
16150860 1 43 11 15 15 5212303 1 7 3 2 NA 1 1 7 16 5 4 2017 1552 goias "leopoldo de bulhoes" NA NA 0 NA 0 NA
16151009 2 40 11 15 15 1302603 1 9 3 3 NA 3 5 6 1 5 1 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16150181 1 71 8 15 15 2933208 1 1 5 2 4 3 6 1 7 3 1 2017 1529 bahia "vera cruz" NA NA 0 NA 0 NA
16150987 1 19 11 15 15 5300108 1 NA 3 2 2 2 4 6 5 1 2 2017 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 6
16150502 1 27 11 15 15 5002704 1 6 3 3 NA 1 1 6 3 5 2 2017 1550 "mato grosso do sul" "campo grande" NA NA 0 NA 0 NA
16150867 1 20 11 15 15 2507507 1 1 5 2 2 3 3 4 2 5 1 2017 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
16151463 1 57 17 15 15 4100707 1 8 4 4 3 1 1 7 16 1 1 2017 1541 parana "alto piquiri" NA NA 0 NA 0 NA
16150367 1 46 11 15 15 1301902 1 6 3 2 1 1 1 3 10 5 1 2017 1513 amazonas itacoatiara NA NA 0 NA 0 NA
16150595 2 49 8 15 15 5300108 1 10 5 2 4 3 1 7 4 5 1 2017 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 6
16151339 1 27 9 15 15 3550308 1 5 5 1 1 3 1 5 9 5 1 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16151332 2 39 11 15 15 2607901 1 5 5 3 3 2 1 5 3 5 1 2017 1526 pernambuco "jaboatao dos guararapes" NA NA 0 NA 0 NA
16150613 2 45 11 15 15 5107602 1 1 5 3 3 3 1 3 10 1 1 2017 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
16150178 1 29 11 15 15 5212303 1 5 5 2 4 2 1 7 12 5 1 2017 1552 goias "leopoldo de bulhoes" NA NA 0 NA 0 NA
16151157 2 55 8 15 15 3167707 1 2 2 2 1 3 5 3 1 1 1 2017 1531 "minas gerais" sobralia NA NA 0 NA 0 NA
16150945 2 16 10 15 15 4208302 1 4 5 2 3 1 1 4 13 4 2 2017 1542 "santa catarina" itapema NA NA 0 NA 0 NA
16150067 2 68 4 15 15 1200401 1 10 3 3 3 2 6 6 7 5 1 2017 1512 acre "rio branco" NA NA 0 NA 0 NA
16150188 1 27 17 15 15 3136306 1 1 5 1 1 2 2 3 8 1506 1 2017 1531 "minas gerais" "joao pinheiro" NA NA 0 NA 0 NA
16151289 2 48 11 15 15 4318309 1 1 5 3 3 3 3 5 3 1 4 2017 1543 "rio grande do sul" "sao gabriel" NA NA 0 NA 0 NA
16150455 1 33 9 15 15 2403251 1 7 2 2 3 3 2 3 8 4 1 2017 1524 "rio grande do norte" parnamirim NA NA 0 NA 0 NA
16150401 2 17 11 15 15 2111300 1 3 4 1 4 3 4 3 1 1 1 2017 1521 maranhao "sao luis" NA NA 0 NA 0 NA
16150942 2 20 8 15 15 4316907 1 8 5 3 3 2 4 6 1 4 1 2017 1543 "rio grande do sul" "santa maria" NA NA 0 NA 0 NA
16150852 1 38 9 15 15 3301702 1 3 3 1 4 3 1 7 14 5 4 2017 1533 "rio de janeiro" "duque de caxias" NA NA 0 NA 0 NA
