id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
1240 1 54 2 15 151504208 1 NA 3 3 2 2 1 2 10 4 1 2012 1515 para NA NA NA 0 NA 0 NA
713 1 29 11 15 155107602 1 8 3 2 2 1 1 7 14 5 1 2012 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
661 1 52 5 15 151301902 1 1 2 2 1 3 6 5 6 1 2 2012 1513 amazonas itacoatiara NA NA 0 NA 0 NA
959 1 20 9 15 153525003 1 4 2 3 1 2 1 7 12 4 1 2012 1535 "sao paulo" jandira NA NA 0 NA 0 NA
1470 1 29 8 15 153550308 1 NA 2 1 2 1 1 7 12 5 2 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
1374 1 88 2 15 153548708 1 4 2 3 1 2 6 5 NA 1 1 2012 1535 "sao paulo" "sao bernardo do campo" NA NA 0 NA 0 NA
1298 1 31 11 15 152504603 1 4 NA 4 4 2 2 1 15 5 4 2012 1525 paraiba conde NA NA 0 NA 0 NA
634 2 29 14 15 152927408 1 4 3 3 2 2 1 6 16 1506 2 2012 1529 bahia salvador NA NA 0 NA 0 NA
674 2 51 7 15 151301902 1 7 2 2 1 2 1 6 8 5 NA 2012 1513 amazonas itacoatiara NA NA 0 NA 0 NA
974 2 47 10 15 153525003 1 5 2 4 4 2 7 NA 8 5 1 2012 1535 "sao paulo" jandira NA NA 0 NA 0 NA
1325 1 69 17 15 153306305 1 5 2 2 2 2 6 7 16 1 2 2012 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
1020 1 25 14 15 155002704 1 NA 2 2 2 2 1 6 16 5 1 2012 1550 "mato grosso do sul" "campo grande" NA NA 0 NA 0 NA
673 1 25 7 15 151302603 1 5 2 3 2 1 1 7 6 5 NA 2012 1513 amazonas manaus NA NA 0 NA 0 NA
955 2 18 11 15 3550308 1 9 3 2 1 2 5 7 11 5 1 2012 1535 "sao paulo" NA NA NA 0 NA 0 NA
636 1 27 11 15 152933208 1 1 5 3 2 3 1 6 13 4 1 2012 1529 bahia "vera cruz" NA NA 0 NA 0 NA
31 2 63 11 15 151501402 1 10 3 4 4 1 6 6 10 4 1 2012 1515 para belem NA NA 0 NA 0 NA
1019 1 50 8 15 155204805 1 1 2 2 2 1 2 7 16 1 2 2012 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
1018 2 22 11 15 155003207 1 NA 3 4 4 2 1 7 14 5 1 2012 1550 "mato grosso do sul" corumba NA NA 0 NA 0 NA
1037 2 28 13 15 154318309 1 5 2 3 2 2 1 5 16 1 5 2012 1543 "rio grande do sul" "sao gabriel" NA NA 0 NA 0 NA
915 2 22 11 15 151501402 1 5 2 3 4 1 3 5 11 5 2 2012 1515 para belem NA NA 0 NA 0 NA
708 2 30 8 15 155107602 1 5 3 2 2 2 1 7 7 5 2 2012 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
1033 2 27 12 15 155003207 1 6 2 3 3 2 3 7 13 1 1 2012 1550 "mato grosso do sul" corumba NA NA 0 NA 0 NA
1332 2 46 5 15 153521101 1 5 2 2 2 2 1 7 16 1 2 2012 1535 "sao paulo" ipeuna NA NA 0 NA 0 NA
675 2 24 13 15 151302603 1 8 2 2 2 NA 2 7 13 4 2 2012 1513 amazonas manaus NA NA 0 NA 0 NA
1449 2 31 11 15 153303955 1 9 2 3 2 2 1 7 6 5 1 2012 1533 "rio de janeiro" pinheiral NA NA 0 NA 0 NA
1002 2 31 2 15 154106902 1 NA 4 2 3 1 6 1 9 4 5 2012 1541 parana curitiba NA NA 0 NA 0 NA
1346 2 23 11 15 153520509 1 5 4 2 1 2 1 6 15 1 2 2012 1535 "sao paulo" indaiatuba NA NA 0 NA 0 NA
1387 2 27 11 15 154215802 1 5 3 2 2 2 1 7 16 1 2 2012 1542 "santa catarina" "sao bento do sul" NA NA 0 NA 0 NA
660 1 30 11 15 151200401 1 8 2 3 4 2 1 7 8 5 1 2012 1512 acre "rio branco" NA NA 0 NA 0 NA
