id gender age edre country_id nationality area city_level area_city city_id sample_id urban_rural living_cluster political_stance presidential_approval_rating env_attitude china_attitude russia_attitude america_attitude pe_fina ocupoit ing4 cp13 fam_fina etid news_read smedia3n smedia3b year edu state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
3914 2 43 6 15 15 1502 1 1502 152111300 17 1 111 3 1 1 2 4 2 1 5 7 2 1508 4 1 1 2 2023 16 1521 maranhao "sao luis" NA NA 0 NA 0 NA
6703 2 23 4 15 15 1502 2 1502 152105302 10 1 53 5 3 1 4 4 2 1 NA 5 3 1510 5 1 1 2 2023 12 1521 maranhao imperatriz NA NA 0 NA 0 NA
9083 2 57 4 15 15 1502 1 1502 152111300 17 1 111 7 2 1 3 2 1 3 5 7 2 1503 5 1 1 2 2023 12 1521 maranhao "sao luis" NA NA 0 NA 0 NA
5041 1 17 3 15 15 1502 1 1502 152927408 117 1 237 NA 3 1 2 4 4 2 NA 1 4 1501 1506 5 4 NA 2023 9 1529 bahia salvador NA NA 0 NA 0 NA
7145 2 30 1 15 15 1502 3 1502 152933208 120 1 218 NA 1 1 2 4 2 1 NA 7 4 1502 5 1 1 1 2023 3 1529 bahia "vera cruz" NA NA 0 NA 0 NA
8217 1 35 1 15 15 1502 3 1502 152933208 120 1 108 10 2 1 2 4 NA 3 3 5 1 1502 5 1 5 NA 2023 3 1529 bahia "vera cruz" NA NA 0 NA 0 NA
1876 3 26 6 15 15 1502 3 1502 152933208 120 1 108 1 2 1 3 4 3 1 2 7 2 1507 4 1 1 2 2023 16 1529 bahia "vera cruz" NA NA 0 NA 0 NA
2142 1 21 5 15 15 1502 3 1502 152933208 120 1 218 6 3 1 2 2 4 2 NA 5 4 NA 4 2 2 NA 2023 14 1529 bahia "vera cruz" NA NA 0 NA 0 NA
7111 1 56 4 15 15 1502 3 1502 152933208 120 1 218 1 1 1 1 4 1 1 NA 1 3 1503 5 1 NA NA 2023 12 1529 bahia "vera cruz" NA NA 0 NA 0 NA
9416 1 31 4 15 15 1502 1 1502 152927408 117 1 237 6 2 1 3 4 3 1 3 4 3 1512 4 1 2 NA 2023 12 1529 bahia salvador NA NA 0 NA 0 NA
